formula,Temperature,sigma (S/cm)
Gd2O3 ht1,2055.0,0.0213
Gd2O3 ht1,2115.0,0.0315
Gd2O3 ht1,2120.0,0.0306
Gd2O3 ht1,2159.0,0.0454
Gd2O3 ht1,2185.0,0.0565
Gd2O3 ht1,2206.0,0.0549
Gd2O3 ht1,2221.0,0.0678
Gd2O3 ht1,2249.0,0.0871
Gd2O3 ht1,2256.0,0.0922
Gd2O3 ht1,2269.0,0.0935
Gd2O3 ht1,2299.0,0.115
Gd2O3 ht1,2314.0,0.138
Gd2O3 ht1,2328.0,0.146
Gd2O3 ht1,2344.0,0.148
Gd2O3 ht1,2392.0,0.212
Gd2O3 ht1,2397.0,0.207
Gd2O3 ht1,2408.0,0.248
Gd2O3 ht1,2436.0,0.373
Gd2O3 ht1,2436.0,0.69
Gd2O3 ht1,2436.0,3.05
Gd2O3 ht3,2448.0,5.06
Gd2O3 ht3,2457.0,5.11
Gd2O3 ht3,2464.0,5.16
Gd2O3 ht3,2476.0,5.3
Gd2O3 ht3,2491.0,5.73
Gd2O3 ht3,2522.0,6.61
Gd2O3 ht3,2539.0,7.36
Gd2O3 ht3,2550.0,7.68
Gd2O3 ht3,2590.0,8.55
Gd2O3 ht3,2612.0,9.7
Gd2O3 ht3,2623.0,9.71
Gd2O3 ht3,2631.0,10.24
Gd2O3 ht3,2641.0,10.48
Gd2Zr2O7 ht,1053.0,0.0055
Gd2Zr2O7 ht,1053.0,0.005
Gd2Zr2O7 ht,1173.0,0.0064
Gd2Zr2O7 ht,673.0,6.8e-06
Gd0.5Zr0.5O1.75 ht2,873.0,450.0
Gd0.5Zr0.5O1.75 ht2,1173.0,0.0116999999999999
Gd0.5Zr0.5O1.75 ht2,673.0,4.270000000000001e-06
GeTe rt,300.0,9700.0
GeTe rt,77.0,22500.0
GeTe rt,4.2,40300.0
GeTe rt,300.0,3600.0
GeTe rt,298.0,5000.0
GeTe rt,298.0,6670.0
Ni0.75Te,300.0,0.0676
Ni0.75Te,289.0,14000.0
GeSb2Te4 ht,298.0,2000.0
GeSb4Te7,298.0,3420.0
GeSb4Te7,300.0,1032.0
GeSb4Te7,420.0,3000.0
GeSb4Te7,190.0,5200.0
GeSb6Te10,298.0,2500.0
Ge0.85Sb0.10Te rt,323.0,3030.0
Sb2Te,298.0,1500.0
Sb4Te3,298.0,3000.0
SbTe,298.0,3500.0
LaMnO3 rhom,293.0,3.0
LaMnO3 rhom,1273.0,104.66
LaMnO3 rhom,298.0,6.3
LaMnO3 rhom,500.0,4.04
LaMnO3 rhom,833.0,48.15
LaMnO3 rhom,300.0,8.0
LaMnO3 rhom,513.0,1.4
LaMnO3 rhom,1100.0,60.0
LaMnO3 rhom,300.0,0.25
LaMnO3 rhom,800.0,65.29
LaMnO3 rhom,280.0,0.00395
LaMnO3 rhom,81.0,4.800000000000001e-07
Mn2O3 rt cub,1123.0,0.07
Mg2[SiO4] for,1060.0,1e-11
Mg2[SiO4] for,1660.0,2e-06
Mg2[SiO4] for,1062.0,9e-10
Mg2[SiO4] for,1062.0,3e-09
Mg2[SiO4] for,833.0,2e-13
Mg2[SiO4] for,833.0,2e-13
Mg2[SiO4] for,1062.0,9e-10
Mg2[SiO4] for,1062.0,3e-09
Mg2[SiO4] for,833.0,2e-13
Mg2[SiO4] for,833.0,2e-13
MgO,298.0,2.4e-09
MgO,700.0,1.6e-07
Sm2O3 rt,673.0,2e-08
Sm2O3 rt,923.0,8.799999999999999e-07
SmMnO3 rt,700.0,12.9
SmMnO3 rt,1000.0,32.5
SrMnO3 4H,873.0,0.008
Re2P,298.0,2000.0
ReO2 rt,273.0,7.4
ReO2 rt,490.0,4.0
Mo10Sb2O31 rt,298.0,0.018
Mo10Sb2O31 rt,500.0,0.13
Mo10Sb2O31 rt,130.0,1e-05
ReSe2 rt,298.0,0.03
ReSe2 rt,140.0,1e-05
ReSe2 rt,298.0,0.012
ReSe2 rt,140.0,2e-06
ReSe2 rt,90.0,1e-06
ReSe2 rt,298.0,0.03
ReSe2 rt,90.0,8e-10
ReSe2 rt,298.0,8e-08
ReSe2 rt,90.0,2e-06
ReSe2 rt,298.0,0.012
Nd2O3 rt,1335.0,0.00075
Nd2O3 rt,970.0,0.000105
Nd2O3 rt,673.0,2.5e-08
Nd2O3 rt,923.0,1.45e-06
SrPbO3 rt,300.0,0.004
Sc0.1Zr0.9O1.95 rt,1273.0,0.065
Y0.2Zr0.8O1.9 ht1,1273.0,0.05
Y0.2Zr0.8O1.9 ht1,473.0,1.5e-07
Y0.2Zr0.8O1.9 ht1,1075.0,0.013
Y0.2Zr0.8O1.9 ht1,523.0,3.9e-07
Y0.2Zr0.8O1.9 ht2,873.0,0.0032
