formula,Bulk Modulus (GPa)
ZrO2 ht2,194.0
ZrO2 rt,101.2
ZrO2 rt,95.0
ZrO2 rt,184.0
ZrO2 rt,137.0
ZrO2 rt,116.2
PbS rt,52.0
PbS rt,50.3
PbS rt,51.2
PbS rt,55.0
PbS rt,52.1
PbS rt,66.3
PbS rt,60.0
USn3,83.0
Cu2S ht,72.0
MnAl12,107.0
Pu0.75Al0.25 ht,27.9
ZrAl3 m,99.0
InAs rt,64.0
InAs rt,59.4
InAs rt,60.6
InAs rt,59.5
InAs rt,63.9
InAs rt,60.0
InAs rt,61.0
InAs rt,58.0
InAs rt,56.3
InAs rt,50.4
InAs rt,61.0
InAs rt,60.0
InAs rt,66.0
Bi2Se3 rt,32.9
Bi2Se3 rt,53.0
Bi2Se3 rt,26.0
Bi2Se3 rt,62.0
Bi2Te3 rt,38.19
Bi2Te3 rt,21.85
Bi2Te3 rt,41.92
Ce2O3 ht,153.0
Ce2O3 rt,124.0
Ce2O3 rt,112.3
Ce2O3 rt,130.0
CeO2 rt,230.0
CeO2 rt,210.1
CeO2 rt,236.0
CeO2 rt,218.0
Fe3C m,235.13
Fe3C m,161.0
CrN rt,257.0
CrN rt,363.0
SiC 2H,225.0
SiC 2H,260.0
V6C5 rt,237.0
V8C7 rt,243.0
VC0.67 rt,299.0
WC0.82 ht,390.0
WC0.82 ht,415.0
WC0.82 ht,375.0
ZnEr rt,88.9
Ga2O3 ht,174.0
Ga2O3 ht,202.0
Ga2O3 ht,134.0
Ga2O3 ht,142.0
GaP rt,95.0
GaP rt,114.0
GaP rt,86.7
GaP rt,84.5
GaP rt,90.4
GaP rt,88.7
GaP rt,87.0
GaP rt,87.4
GaP rt,81.5
GaP rt,98.0
GaP rt,99.0
GaP rt,87.0
GaP rt,89.7
GaP rt,89.4
GaP rt,97.83
GaP rt,91.6
GaP rt,86.7
GaP rt,88.7
GaP rt,89.0
Pu0.88Ga0.12 ht3,29.6
Pu0.88Ga0.12 ht3,30.6
Mg2Ge rt,52.9
Mg2Ge rt,49.35
ZnHo rt,71.4
ZrH1.8,124.0
In2O3,172.44
In2O3,172.87
In2O3,144.0
In2O3,175.0
InP rt,76.0
InP rt,72.5
InP rt,72.7
InP rt,67.0
InP rt,65.6
InP rt,70.3
InP rt,71.0
InP rt,67.0
InP rt,60.8
InP rt,59.8
InP rt,71.0
InP rt,58.9
InP rt,67.0
InP rt,71.0
InP rt,71.0
InSb rt,50.0
InSb rt,45.6
InSb rt,47.4
