formula,band_gap (MP)
LiMnP2(HO4)2,0.7271000000000001
SrCaSmFeO6,0.7272000000000003
Ba5Mn5O14,0.7272999999999996
H(C3N2)4,0.7273999999999994
Mg2V2CuO8,0.7275
Mg(Fe2O3)4,0.7275999999999998
Mg14NiSnO16,0.7276000000000007
MgCu4Ag2(PS4)2,0.7276999999999996
Li3Cr3FeO8,0.7277
IrCl3,0.7277
K2LiH2(SeO3)2,0.7278
KLaC4O11,0.7278
Bi12RuO20,0.7278000000000002
Li5Mn5(SeO3)8,0.7279
Li3V3(BO5)2,0.7279
CaFeReO6,0.7279
MgFe5CuO8,0.7279
Mg2SbMoO6,0.7279
SrMgO2,0.7279999999999998
KLiMg14O15,0.7279999999999998
Rb2Bi4Se7,0.7279999999999998
CdBi8(Br5O4)2,0.7279999999999998
InAgSnSe4,0.7280000000000002
SrSmCoO4,0.7280000000000002
MgMn5O9F,0.7281
K2GeB4O11,0.7281
BiSbO5,0.7281000000000001
Li3Y(NiO3)2,0.7283
Co2C2O7,0.7283000000000001
Ba8In6O17,0.7284999999999999
Li3Cr3(NiO6)2,0.7284999999999999
K2(MoSe6)3,0.7284999999999999
MnPO4,0.7284999999999999
MgV12Zn6O24,0.7285000000000004
BaLaFeO4,0.7285999999999992
CrAgS2,0.7286999999999999
GaCuO2,0.7286999999999999
MgTl2Pb16(Br9O4)2,0.7287000000000003
Li3Mn3(PO4)4,0.7289000000000001
MgP4,0.7289000000000003
Mn2P2H7NO10,0.7290000000000001
EuCuTeF,0.7290999999999999
Sr2GaSbO6,0.7291000000000003
ZnSe2,0.7291999999999996
CeSe2,0.7291999999999998
Ba(FeBr4)2,0.7292000000000001
Fe4As2O11,0.7292000000000001
K2Dy4Cu4Se9,0.7292999999999998
RbAuBr3,0.7293
Na3Mg(NiO2)5,0.7293000000000001
BaHfInSbO6,0.7294
Sr2MgZnWO6,0.7294
Y6Ge2O13F3,0.7295
LiTiCoO4,0.7295000000000003
Ba8Mn8O23,0.7296
Sr2MgCoWO6,0.7296999999999998
MgCu2GeS4,0.7297000000000002
Sr4Sn2Se9,0.7298
Li2Mn3P9O28,0.7298
MgCrSbO4,0.7298999999999998
NaIO4,0.7299
Ca3AlAs3,0.7300999999999997
Al2Pb3N4,0.7301000000000002
MgTiZn(BiO3)2,0.7302999999999997
MnZn4Se5,0.7303
Li4MnO3F,0.7303
Li3V3P8O29,0.7303
In2(PSe3)3,0.7303000000000002
Li5V3P8O29,0.7304
HoTlTe2,0.7305000000000001
Ho5IrBr9,0.7305999999999999
Mg(Fe2O3)2,0.7306999999999997
Ca3Si4(AgO7)2,0.7307000000000001
Si5C3,0.7307000000000001
Ba21(Cd2Sb9)2,0.7307000000000001
BaAl2O6,0.7308
Ba3IrF6,0.7308
MgMn2Co5O12,0.7308000000000001
Na2CuAsF6,0.7308000000000003
Li3Co3(PO4)4,0.7309000000000001
Ca3LaTi2Cr2O12,0.7309000000000001
Ba2MnTe3,0.7309999999999999
Li9Mn2Co5O16,0.7309999999999999
Ca3Tl2O6,0.7309999999999999
Re2Cl5O4,0.7309999999999999
NaH4Au(Br2O)2,0.7311
NaErCu2F8,0.7312
Li5FeO4F,0.7312
HgHC3NCl3,0.7312000000000001
Fe4OF7,0.7312999999999998
Mn17Fe13O40,0.7313000000000001
MgV3O6,0.7313000000000005
Li3Mn(PO4)2,0.7314000000000003
KEuBiWO6,0.7314999999999996
Bi3Se2ClO8,0.7314999999999999
Ba2Ti3O8,0.7315
TeINO10,0.7315999999999999
Na2Zr3Zn5(SO4)12,0.7316999999999999
FeSi6(H27C10)2,0.7316999999999999
NaYbCO3F2,0.7317
ZnP2W2O9,0.7317
MnBPbO4,0.7317
Na2ScAuF6,0.7318
Ba5(CN3)2,0.7318000000000002
Mg30SiBO32,0.7318000000000007
LiNbSe2,0.7318999999999996
CsLiMg6O7,0.7319
Be2CoAu,0.7319
AlIn(CuS2)2,0.7319999999999993
Te2MoWSe2,0.7319999999999998
Li6MnAlO6,0.7321
Sr2MgCrSbO6,0.7321
Ba2LiY2(Fe2O5)2,0.7321999999999997
CoF3,0.7322
MgV3CrO10,0.7322000000000001
Ba4P3,0.7323
Ca6MnN5,0.7323999999999997
V3OF11,0.7323999999999997
Li9Co7O16,0.7323999999999997
BC2N,0.7324000000000002
Mg30NbSiO32,0.7324999999999999
MgAg20(BiO4)4,0.7324999999999999
Ba4Ge2Te5Se3,0.7326000000000001
Gd2CF2,0.7328000000000001
Zn(FeO2)2,0.7329000000000003
NaCaB5(H7O4)3,0.733
Li3Mn2CoO6,0.7330000000000001
Tb2S3,0.7330999999999994
SmRhO3,0.7331000000000003
SrClO,0.7333
BaAgO2,0.7334
Ca2CuAs2(H2O5)2,0.7334
Li7Mn2(CoO4)3,0.7334999999999998
GaCuGeSe4,0.7335000000000003
AsRuSe,0.7335000000000003
LiMn2O3F,0.7336
K3Pu(H3O4)2,0.7336000000000001
P4Ru,0.7336999999999998
CsAuI3,0.7337
Sr4LiMn2(GaO5)2,0.7337000000000002
Li4Ti3Cr3(FeO8)2,0.7337000000000002
ReP4,0.7338000000000005
LiCo5SbO8,0.7338999999999998
Li2MnV3O8,0.7338999999999998
K4Fe2O5,0.7339000000000001
CeVO4,0.734
CrSiO4,0.734
MgV4O8,0.734
Na3MnSiBO7,0.7340000000000002
BaSr7(Fe2O5)4,0.7341000000000002
Ga2TeO6,0.7341000000000006
Li3Mn5OF11,0.7342000000000002
K2Pd3Se4,0.7342000000000002
N2O3,0.7343
CeSe2,0.7343999999999999
Ca5BC4Cl3,0.7345999999999999
Mn2P4O13,0.7345999999999999
MnPO4,0.7345999999999999
Li2MnP2HO8,0.7346999999999999
Ba3Fe2P4(O6F5)2,0.7347
LiMnH4(SO5)2,0.7347
RbSb,0.7347000000000001
AlMoO3,0.7347999999999999
CePbO3,0.7348999999999997
Li6Mn3CoO10,0.7349000000000001
K3AuF6,0.7349999999999999
KSmPdO3,0.7349999999999999
Na3PH3S2N3O8,0.735
MgAu4Se4(ClO3)4,0.735
CuH28C10(N3Cl2)2,0.735
LiCr2(MoO4)3,0.7350000000000001
Sr4Mg(Fe2O5)2,0.7350999999999996
CdGeN2,0.7351000000000001
Cd2Cl4O5,0.7352999999999998
Li4VFe3O8,0.7353000000000001
Tb2MgNb2O8,0.7353000000000005
Re3(TeI)7,0.7353999999999998
Rb2NaCuF6,0.7354
VSi7N10,0.7355
Ba5V5O14,0.7356000000000003
Li7Mn4CoO12,0.7356000000000003
Hg3PO4,0.7357
MnBiS2Br,0.7358000000000002
Sr8MgMn6O20,0.7359
Ca(BeP)2,0.7359
TeI2,0.7359
TmTlO3,0.7359999999999998
Na2MnSiCO7,0.736
Na3Fe2Mo5O16,0.7362000000000002
NbSeBr3,0.7363999999999999
Na6CaSi4Ge3(SO12)2,0.7364000000000002
NaCr2P2O9,0.7364000000000002
LiCoSiO4,0.7364999999999999
RbCdGeAs2,0.7365000000000002
K6Na2Pt(WO6)6,0.7366999999999999
BaCoSiO4,0.7367000000000004
Mg(GeN)4,0.7367999999999997
ZrIN,0.7367999999999997
MgP(CO4)2,0.7369000000000001
CrN3O4,0.7370000000000001
Li9Mn2Co5O16,0.7370000000000001
Li9Co7O16,0.7370000000000001
K2MgFe(SiO3)8,0.7370999999999999
CuH8C2(N2O3)2,0.7371
Li3Mn3(PO4)4,0.7371000000000001
Rb2Mg(FeO2)2,0.7373000000000003
MgFe2Mo2(ClO4)2,0.7374
Ti3V2Fe(PO4)6,0.7374
CsSi3O7,0.7375999999999999
Mo3W(SeS3)2,0.7376
AlTlO3,0.7376999999999994
LiMnVP2(HO5)2,0.7376999999999998
VF4,0.7376999999999999
Hg2AsF6,0.7378999999999999
Fe4O3F5,0.7379
Y(FeO2)2,0.7379000000000002
MnAsO4,0.7379000000000002
Sm2Co2O5,0.7379999999999995
KLi2FeO3,0.738
Sr2CrN3,0.7380000000000004
Hg3(NO4)2,0.7381
Bi3Pb3N5,0.7382
Na8MgCr2O8,0.7382
SrPrMnNbO6,0.7382999999999997
SrEuZrGeO6,0.7382999999999997
Rb6Mg(FeO3)2,0.7384000000000002
Li3Cr3(CoO6)2,0.7384999999999999
Fe2P2O7,0.7385000000000002
Li7Mn4CoO12,0.7385000000000002
AgHg2AsO4,0.7385999999999999
CeSe2,0.7385999999999999
Li9Mn2Co5O16,0.7386999999999997
MgHg4(WO4)2,0.7387999999999999
UMnO4,0.7389000000000001
Nd2ZrSe5,0.7389000000000001
Cs3AlAs2,0.7389000000000001
Li2CuIrF6,0.7389999999999999
Li4Co3TeO8,0.7389999999999999
MgMnV3O8,0.7390000000000001
Au2O3,0.7390000000000003
NaLiMg6O7,0.7391999999999999
CaCuF4,0.7392000000000001
W3Se2ClO8,0.7392000000000001
MgMnSiO5,0.7393000000000001
KBa4Bi3O,0.7393000000000001
MgVS2,0.7393000000000001
Li9Co7O16,0.7393000000000001
Rb3FeO3,0.7393000000000001
Li2Al2Si4HO14,0.7394000000000001
Na7NbZn3Si3(SO8)3,0.7394000000000003
Ba2MgCuWO6,0.7394000000000007
Na4CdP2,0.7394999999999999
GdCrO4,0.7395
Li3Mn2P2(CO7)2,0.7395
Cs2Se3,0.7396
MgAl2(OF4)2,0.7397
MgV8Ge4(O2F)8,0.7397
Li3Cr5O8,0.7397999999999998
Li2Mn(PO4)2,0.7397999999999999
Fe3O4,0.7398999999999996
NaGdHf2O6,0.7399999999999998
CuH20N6OF2,0.74
Cs2Pd(IBr2)2,0.7401
Ho2MgV4O12,0.7401000000000004
K4MgV6O16,0.7402
MnBi2(IO)8,0.7402000000000001
WSeS,0.7402000000000002
Ba3Y2N4,0.7403
Fe(Bi5O8)5,0.7403000000000004
MgCo2(NiO2)4,0.7404000000000002
MnPO4,0.7404999999999999
Li3MnOF4,0.7405
