,formula,target
1081,BaCuGdFeO5,-2.2072749131897207
345,Tl4.5Nd0.5Te3,10.858998997563564
906,Sr0.9Ce0.1MnO3,9.287301413112312
1156,Na1.9Fe0.1Ni1.9TeO6,-4.605170185988091
1041,Ba2CaIrO6,-1.1394342831883648
1148,Rb4Cd6.35Sb9,8.273846932784508
340,Ba4Cu3Ge20,6.829793737512425
1146,AlBi2Te2BrCl4,7.600904459540082
457,Cu0.5Sb0.5PSe3,-5.390432655455842
175,Gd3S4,11.002099841204238
549,LiMn1.5Co0.5O4,-1.3470736479666092
300,AgVO3,-1.2729656758128873
459,Ba2Cu3PrO7,-5.035953102080546
1181,Ba0.05Ti0.5Pb4.95Ge2.5O11,-9.648845334162548
1268,FeO,11.512925464970229
1462,AgCd0.74Mn1.26GaSe4,-20.030118656386467
912,Na7In4PO4P2O74,-2.48530672980934
927,CaCu3Ti3.6Sn0.4O12,-5.744604469176456
813,Sr2.67Dy1.33Co4O11.12,5.755742213586912
881,CaIrO3,3.4307561839036995
996,BaPb0.75Bi0.25O3,10.308952660644293
463,TlN3,-27.631021115928547
1086,CsBi4Te4.98Se1.02,10.725467604939041
326,Ag2HgI4,-8.468403027246806
888,BaTiV9O15,6.008813185442595
1074,Ba0.95La0.05SnO3,12.037653993905211
861,La2TiNiO6,-7.600902459542082
1246,BaCuDyFeO5.04,-5.035953102080546
1624,H5VMo11GeO40H2O24,-3.8971343929343956
59,NiS2,9.903487552536127
13,Ge,14.28551418721001
1694,CrPb0.5Te2,0.06765864847381486
841,Yb5Al2Sb6,11.643953727376633
387,CsBiS2,-11.512925464970229
523,Yb0.25Pb0.75Te,8.873650111589516
1085,SrNb2Bi2O9,-14.001840136155767
26,Mg2Si,10.491274217438248
1260,Ce0.9Pb0.1O1.95,-8.679712120914012
603,W0.5Mo0.5Se2,-6.812445099177812
322,K3Mo10O30,13.017002861746503
1005,VPO4OH2O2,-6.907755278982137
1004,BaCuC2O42H2O6,-11.34487187997398
1271,Ba0.4Sr0.4Ca0.2Fe0.2Co0.8O3,3.8066624897703196
441,Li3Fe2PO43,-1.6094379124341003
1647,Cd0.5In0.33PS3,-17.50439001207821
